number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,params_train_freq,user_attrs_avg_stopped,user_attrs_teleports,user_attrs_throughput,state
13,3.495333628111355,2026-08-11 14:32:13.880949,2026-08-11 14:33:05.739415,0 days 00:00:51.858466,32,10000,0.014616322595199847,0.12250030741896978,0.9667046814909402,3.4760962283381484e-05,1000,1,,,,PRUNED
14,0.7144711003079671,2026-08-11 14:33:05.754460,2026-08-11 14:37:09.324165,0 days 00:04:03.569705,32,10000,0.029725427223091367,0.17574203839990066,0.9691796263318221,0.000985797181136022,1000,1,57.16424581005587,0.0,2131.3,COMPLETE
15,21.88015347518558,2026-08-11 14:37:09.338607,2026-08-11 14:38:04.862773,0 days 00:00:55.524166,32,10000,0.01125366066026671,0.16346215712083675,0.9552194339870398,1.8640928863568985e-05,1000,4,,,,PRUNED
16,0.6898100918382997,2026-08-11 14:38:04.876006,2026-08-11 14:42:15.761710,0 days 00:04:10.885704,32,10000,0.02697920800043386,0.158595311848412,0.9845531249211027,5.471870942641107e-05,1000,1,61.66703910614525,0.0,2112.3,COMPLETE
17,0.7025833329486904,2026-08-11 14:42:15.776698,2026-08-11 14:46:28.047988,0 days 00:04:12.271290,32,10000,0.03822082132062195,0.10670036738976535,0.9809242045592925,4.6185410737270576e-05,1000,1,62.81005586592179,0.0,2122.0,COMPLETE
18,2.530007763129952,2026-08-11 14:46:28.062560,2026-08-11 14:47:30.578304,0 days 00:01:02.515744,128,50000,0.021524867309175147,0.1937464813625149,0.9498115184197143,2.0014389103419984e-05,1000,8,,,,PRUNED
19,0.7759663606028553,2026-08-11 14:47:30.591175,2026-08-11 14:51:02.019907,0 days 00:03:31.428732,32,10000,0.03828604975202837,0.28849830347283967,0.9541983150174619,8.243377840716696e-05,1000,4,,,,PRUNED
20,15.657214770192246,2026-08-11 14:51:02.035583,2026-08-11 14:51:59.901101,0 days 00:00:57.865518,32,10000,0.010364069947309146,0.134571449660705,0.9781301465060082,1.0514996231591174e-05,1000,1,,,,PRUNED
21,1.6036341705623325,2026-08-11 14:51:59.917714,2026-08-11 14:52:55.392524,0 days 00:00:55.474810,64,10000,0.02686159775245224,0.2715388444750479,0.993963561990097,3.1219554473247244e-05,500,1,,,,PRUNED
22,1.7221590788664247,2026-08-11 14:52:55.408008,2026-08-11 14:53:50.784709,0 days 00:00:55.376701,64,10000,0.03559141130530078,0.3174432711901149,0.9488452809900334,3.273990725681375e-05,1000,1,,,,PRUNED
23,1.7690301009103464,2026-08-11 14:53:50.800016,2026-08-11 14:54:46.286855,0 days 00:00:55.486839,128,10000,0.0213239920040485,0.2604035378058144,0.9724038099920611,1.8632369959217975e-05,500,1,,,,PRUNED
24,0.7471314544176383,2026-08-11 14:54:46.299354,2026-08-11 14:58:09.115580,0 days 00:03:22.816226,32,10000,0.06689254344463155,0.1940805282633276,0.9599672674117679,4.1588650992755154e-05,1000,1,,,,PRUNED
25,0.7124263158813665,2026-08-11 14:58:09.123401,2026-08-11 15:02:35.388079,0 days 00:04:26.264678,64,50000,0.02029478346389325,0.1462199479345313,0.9186852442430529,6.449936667103382e-05,500,1,58.45530726256983,0.0,2135.5,COMPLETE
26,2.051822324214309,2026-08-11 15:02:35.403799,2026-08-11 15:03:35.592637,0 days 00:01:00.188838,32,10000,0.03221650007397648,0.33697799584928284,0.9439312578574539,2.3065224736849058e-05,1000,1,,,,PRUNED
27,3.3085357894704797,2026-08-11 15:03:35.608371,2026-08-11 15:04:31.763603,0 days 00:00:56.155232,32,10000,0.04312111456985754,0.20609221172954895,0.900845517359512,1.4483617505022274e-05,1000,1,,,,PRUNED
28,1.9504752336810014,2026-08-11 15:04:31.778735,2026-08-11 15:05:35.927079,0 days 00:01:04.148344,128,10000,0.025424205033766707,0.2418753235320633,0.9888276587287326,0.00014812736537439804,5000,8,,,,PRUNED
29,0.7440998705160291,2026-08-11 15:05:35.941793,2026-08-11 15:09:00.724450,0 days 00:03:24.782657,64,50000,0.05915996587557373,0.1723824086403209,0.9292632266729329,0.00022899022249537292,500,4,,,,PRUNED
